t,qx,qy,qz,qw
0.0,-0.9610037915995512,-0.05039435867360129,-0.19511144504143507,0.189376992158514
0.02,-0.9596261990203481,-0.04804612530937819,-0.20086839250883642,0.19094768102134901
0.036,-0.9585416244625209,-0.046145532784965936,-0.20519618384027474,0.19225782198426
0.06,-0.9569479975220598,-0.04325200044935301,-0.21122474574336964,0.1943293628901658
0.08,-0.9556559650837673,-0.040796559088228095,-0.21583152889331056,0.1961480774872654
0.1,-0.954402200172624,-0.03829161056836754,-0.22006899152691628,0.1980399753435178
0.124,-0.9529446940487069,-0.03522174929154733,-0.2247134502365316,0.2003988616336276
0.144,-0.9517520099581344,-0.03262239655598485,-0.22830734210428277,0.20243430619554936
0.16,-0.9508098185072994,-0.0305163608756678,-0.23102037812122028,0.20410542776161233
0.18,-0.9496509321867004,-0.02784525599681282,-0.23420220821716617,0.2062451802627303
0.196,-0.9487412430661796,-0.025673837421527023,-0.2365763164806984,0.20799652462894175
0.216,-0.9476296124726173,-0.02290995911624004,-0.23932396519781973,0.21023151766631518
0.232,-0.9467597261517878,-0.020658479944545168,-0.2413487567507352,0.21206137262181207
0.252,-0.9456975528790365,-0.017790310644674824,-0.24367334591339743,0.21438970081871422
0.276,-0.9444601313654564,-0.014265230816581485,-0.2461715365780231,0.21723521360430914
0.3,-0.9432645590754293,-0.010641759676396773,-0.24835911122004903,0.22012831807201305
0.316,-0.9424907359125971,-0.00816642632779716,-0.24965002988046597,0.2220796811521628
0.336,-0.9415496087844563,-0.005000772855416174,-0.2510806310990848,0.2245391795557544
0.36,-0.9404536288972285,-0.0011008374877562615,-0.2525400373354725,0.22752865664231783
0.376,-0.9397402151144124,0.0015584939492864233,-0.25336988515599607,0.22954215405751807
0.4,-0.9386979216069864,0.005643689488531285,-0.254406436843484,0.23257627916940155
0.42,-0.9378476448496924,0.009127875367515947,-0.2551076783032484,0.23511390731278925
0.448,-0.9366472850043717,0.014089322492092314,-0.25600400289202413,0.238653105969551
0.472,-0.9356236083189541,0.018435396435234154,-0.25673429402832115,0.24157007675677813
0.492,-0.9347561200683834,0.02210646911828932,-0.2572866012353977,0.2440202959644171
0.508,-0.9340579787344665,0.025079139831187418,-0.2576783203264164,0.24598498397578575
0.524,-0.9333575965357934,0.0280818250065061,-0.25801865983113403,0.24795438949971552
0.548,-0.9323028116207633,0.032638232218195375,-0.25842417009658675,0.2509246132837135
0.568,-0.9314198204824156,0.03647774803938525,-0.2586608229905062,0.25341876520959156
0.584,-0.9307096698654381,0.03957067333131945,-0.2587724156487033,0.2554417920591853
0.6,-0.9299879030453356,0.042670684566824435,-0.25879948834866684,0.2575355076458515
0.616,-0.9292610463642429,0.045779795597853654,-0.2587537090531338,0.2596625426901183
0.632,-0.9285352201410778,0.04890323537410616,-0.25863679149339547,0.2617973044427822
0.648,-0.9278102849067024,0.052037301935587296,-0.2584493381896455,0.26393964086120647
0.668,-0.9268955511006898,0.05595633648406314,-0.2581086115654469,0.26667109028312036
0.692,-0.9257991872623572,0.06066683790753583,-0.2575566383434967,0.26996291909789577
0.712,-0.9248922749153752,0.06460008661625415,-0.25697781332128694,0.27269674011921075
0.732,-0.9239905233078348,0.06852783113530954,-0.25628159392370853,0.2754363698082144
0.752,-0.9230927869552124,0.07244075798958582,-0.2554706570056429,0.27818480667041917
0.772,-0.9222015634465658,0.07634760808380382,-0.25456263256686773,0.2809149074314454
0.792,-0.9213144797736172,0.0802416872232287,-0.25356913471665604,0.2836258008540212
0.812,-0.9204146931906734,0.08409547669025866,-0.252555206560883,0.28632256459794897
0.836,-0.9193035095212201,0.08864448211833795,-0.25136545498635776,0.2895489962190184
0.856,-0.9183563507967313,0.09237824207060828,-0.2503832700303338,0.29222609642564784
0.88,-0.9172122946382832,0.09680936804293287,-0.24921461151159371,0.2953669416719285
0.896,-0.9164430433036979,0.09972762047998755,-0.2484125229975148,0.29745212810075083
0.912,-0.9156689756344011,0.10261608330425465,-0.24758407596639753,0.2995369623866244
0.932,-0.9146962565427649,0.1061841249597814,-0.24650507062448845,0.302143906159952
0.948,-0.9139195300904801,0.10900631624518133,-0.24560556142434367,0.30421476580745466
0.972,-0.9127532024804423,0.1131787886597355,-0.24416707797686105,0.30733465667160453
0.996,-0.9115739838715666,0.11725970749910844,-0.24260087270523997,0.3105283392677716
1.016,-0.9105992370167267,0.12060385491220818,-0.241208130100766,0.31318106216398556
1.036,-0.9096330352492221,0.12389491695132318,-0.23972319914138776,0.31583314982808686
1.052,-0.9088653425731182,0.12648812369219356,-0.23845726010173854,0.3179664742375346
1.072,-0.9079166362624561,0.12968313029777234,-0.2367708087571019,0.32063881772883623
1.092,-0.9069872536686457,0.13283168657414335,-0.23496724898376964,0.32329592733202756
1.116,-0.9058799877013026,0.13651437104581468,-0.2325952615998024,0.3265650297591173
1.132,-0.9051475656564747,0.13891709113328596,-0.2309043694732281,0.32877514859763235
1.152,-0.9042276417752588,0.1418440329831602,-0.22873235707532025,0.33156319304680776
1.172,-0.9033008068779351,0.14468299747421345,-0.2265077316848671,0.3343781243181504
1.192,-0.9023718012978176,0.14744672205264645,-0.22421988870163737,0.3372091901017632
1.212,-0.9014459687229116,0.15015290345420063,-0.2218568764032883,0.3400423465541626
1.236,-0.9003330570212019,0.15332928126969148,-0.21887824171865533,0.34348629265565606
1.252,-0.8995951741951597,0.1554174199284724,-0.21680421083820817,0.34578878280010633
1.272,-0.8986818333528842,0.1580111012856981,-0.21411666546235697,0.3486509828514196
1.288,-0.8979583632073387,0.16007834204393348,-0.21188203091942107,0.35092977549350846
